City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,sao filipe,14.8961,-24.4956,22.52,67,25,1.76,CV,1670288287
267,haines junction,60.7522,-137.5108,-20.03,77,72,1.03,CA,1670288287
268,dubti,11.7361,41.0853,21.54,65,9,3.08,ET,1670288288
269,ostrovnoy,68.0531,39.5131,-3.82,85,100,9.88,RU,1670288288
270,port hawkesbury,45.6169,-61.3485,0.33,83,0,1.54,CA,1670288288
271,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,57,75,1.0,RU,1670288289
272,pravia,43.4906,-6.1508,9.02,81,0,1.54,ES,1670288289
273,monterey,36.2505,-121.2516,11.76,1,68,2.54,US,1670288251
274,tuatapere,-46.1333,167.6833,12.1,59,55,3.01,NZ,1670288290
275,nantucket,41.2835,-70.0995,7.86,80,100,4.72,US,1670288291
276,geraldton,-28.7667,114.6,24.23,53,0,7.72,AU,1670288291
277,tessalit,20.1986,1.0114,24.45,16,98,4.32,ML,1670288292
278,bathsheba,13.2167,-59.5167,23.36,93,20,2.57,BB,1670288292
279,la ronge,55.1001,-105.2842,-26.86,76,40,1.03,CA,1670288293
280,la victoria,10.2184,-67.3302,18.59,81,21,2.19,VE,1670288293
281,moose factory,51.2585,-80.6094,-15.0,78,100,5.14,CA,1670288294
282,mareeba,-17.0,145.4333,31.36,45,0,1.83,AU,1670288294
283,broken hill,-31.95,141.4333,23.04,27,92,1.39,AU,1670288295
284,korla,41.7597,86.1469,-5.26,44,100,2.03,CN,1670288295
285,aykhal,66.0,111.5,-25.95,99,100,6.74,RU,1670288295
286,port blair,11.6667,92.75,27.02,83,75,5.14,IN,1670288296
287,nouakchott,18.0858,-15.9785,20.96,60,16,3.61,MR,1670288296
288,talnakh,69.4865,88.3972,-3.77,96,100,4.28,RU,1670288297
289,huaiyin,33.5886,119.0192,4.5,41,4,1.41,CN,1670288297
290,tezu,27.9167,96.1667,16.0,41,0,1.71,IN,1670288298
291,panzhihua,26.5851,101.7128,9.74,68,0,0.24,CN,1670288298
